model,dataset_id,shift_axis,base_seed,rho,n_lambda,n_failed,max_lambda
logreg,mfeat-fourier,covariate_shift,2025,0.0,6,5,0.4
logreg,mfeat-fourier,label_noise,42,0.0,6,5,0.4
logreg,mfeat-fourier,label_noise,1337,0.0,6,6,0.4
logreg,mfeat-fourier,label_noise,2025,0.0,6,5,0.4
logreg,mfeat-karhunen,covariate_shift,42,0.1,6,3,0.4
logreg,mfeat-karhunen,covariate_shift,1337,0.05,6,4,0.4
logreg,mfeat-karhunen,covariate_shift,2025,0.1,6,3,0.4
logreg,mfeat-karhunen,label_noise,42,0.0,6,5,0.4
logreg,mfeat-karhunen,label_noise,1337,0.0,6,5,0.4
logreg,mfeat-karhunen,label_noise,2025,0.0,6,5,0.4
logreg,mfeat-morphological,covariate_shift,42,0.1,6,3,0.4
logreg,mfeat-morphological,covariate_shift,1337,0.05,6,4,0.4
logreg,mfeat-morphological,covariate_shift,2025,0.1,6,3,0.4
logreg,mfeat-morphological,label_noise,42,0.05,6,4,0.4
logreg,mfeat-morphological,label_noise,1337,0.05,6,4,0.4
logreg,mfeat-morphological,label_noise,2025,0.05,6,4,0.4
logreg,mfeat-zernike,covariate_shift,42,0.1,6,3,0.4
logreg,mfeat-zernike,covariate_shift,1337,0.1,6,3,0.4
logreg,mfeat-zernike,covariate_shift,2025,0.1,6,3,0.4
logreg,mfeat-zernike,label_noise,42,0.1,6,3,0.4
logreg,mfeat-zernike,label_noise,1337,0.1,6,3,0.4
logreg,mfeat-zernike,label_noise,2025,0.05,6,4,0.4
logreg,optdigits,covariate_shift,42,0.2,6,2,0.4
logreg,optdigits,covariate_shift,1337,0.2,6,2,0.4
logreg,optdigits,covariate_shift,2025,0.2,6,2,0.4
logreg,optdigits,label_noise,42,0.0,6,5,0.4
logreg,optdigits,label_noise,1337,0.0,6,5,0.4
logreg,optdigits,label_noise,2025,0.0,6,5,0.4
logreg,ozone-level-8hr,covariate_shift,42,0.2,6,2,0.4
logreg,ozone-level-8hr,covariate_shift,1337,0.3,6,1,0.4
logreg,ozone-level-8hr,covariate_shift,2025,0.3,6,1,0.4
logreg,ozone-level-8hr,label_noise,42,0.0,6,5,0.4
logreg,ozone-level-8hr,label_noise,1337,0.0,6,5,0.4
logreg,ozone-level-8hr,label_noise,2025,0.0,6,5,0.4
logreg,pc1,covariate_shift,42,0.0,6,6,0.4
logreg,pc1,covariate_shift,1337,0.2,6,2,0.4
logreg,pc1,covariate_shift,2025,0.0,6,5,0.4
logreg,pc1,label_noise,42,0.0,6,5,0.4
logreg,pc1,label_noise,1337,0.0,6,5,0.4
logreg,pc1,label_noise,2025,0.0,6,5,0.4
logreg,pc3,covariate_shift,42,0.2,6,2,0.4
logreg,pc3,covariate_shift,1337,0.2,6,2,0.4
logreg,pc3,covariate_shift,2025,0.4,6,0,0.4
logreg,pc3,label_noise,42,0.0,6,5,0.4
logreg,pc3,label_noise,1337,0.05,6,4,0.4
logreg,pc3,label_noise,2025,0.0,6,5,0.4
logreg,pc4,covariate_shift,42,0.1,6,3,0.4
logreg,pc4,covariate_shift,1337,0.05,6,4,0.4
logreg,pc4,covariate_shift,2025,0.0,6,6,0.4
logreg,pc4,label_noise,42,0.0,6,5,0.4
logreg,pc4,label_noise,1337,0.0,6,5,0.4
logreg,pc4,label_noise,2025,0.0,6,6,0.4
logreg,pendigits,covariate_shift,42,0.0,6,5,0.4
logreg,pendigits,covariate_shift,1337,0.0,6,5,0.4
logreg,pendigits,covariate_shift,2025,0.0,6,6,0.4
logreg,pendigits,label_noise,42,0.0,6,5,0.4
logreg,pendigits,label_noise,1337,0.0,6,5,0.4
logreg,pendigits,label_noise,2025,0.0,6,6,0.4
logreg,phoneme,covariate_shift,42,0.0,6,6,0.4
logreg,phoneme,covariate_shift,1337,0.0,6,6,0.4
logreg,phoneme,covariate_shift,2025,0.0,6,6,0.4
logreg,phoneme,label_noise,42,0.0,6,6,0.4
logreg,phoneme,label_noise,1337,0.0,6,6,0.4
logreg,phoneme,label_noise,2025,0.0,6,6,0.4
logreg,qsar-biodeg,covariate_shift,42,0.05,6,4,0.4
logreg,qsar-biodeg,covariate_shift,1337,0.0,6,5,0.4
logreg,qsar-biodeg,covariate_shift,2025,0.0,6,5,0.4
logreg,qsar-biodeg,label_noise,42,0.05,6,4,0.4
logreg,qsar-biodeg,label_noise,1337,0.1,6,3,0.4
logreg,qsar-biodeg,label_noise,2025,0.05,6,4,0.4
logreg,satimage,covariate_shift,42,0.0,6,6,0.4
logreg,satimage,covariate_shift,1337,0.0,6,6,0.4
logreg,satimage,covariate_shift,2025,0.0,6,6,0.4
logreg,satimage,label_noise,42,0.0,6,6,0.4
logreg,satimage,label_noise,1337,0.0,6,6,0.4
logreg,satimage,label_noise,2025,0.0,6,6,0.4
logreg,segment,covariate_shift,42,0.0,6,6,0.4
logreg,segment,covariate_shift,1337,0.0,6,6,0.4
logreg,segment,covariate_shift,2025,0.0,6,6,0.4
logreg,segment,label_noise,42,0.0,6,6,0.4
logreg,segment,label_noise,1337,0.0,6,6,0.4
logreg,segment,label_noise,2025,0.0,6,6,0.4
logreg,spambase,covariate_shift,42,0.0,6,6,0.4
logreg,spambase,covariate_shift,1337,0.0,6,6,0.4
logreg,spambase,covariate_shift,2025,0.0,6,6,0.4
logreg,spambase,label_noise,42,0.0,6,6,0.4
logreg,spambase,label_noise,1337,0.0,6,6,0.4
logreg,spambase,label_noise,2025,0.0,6,6,0.4
logreg,splice,covariate_shift,42,0.4,6,0,0.4
logreg,splice,covariate_shift,1337,0.4,6,0,0.4
logreg,splice,covariate_shift,2025,0.0,6,6,0.4
logreg,splice,label_noise,42,0.0,6,5,0.4
logreg,splice,label_noise,1337,0.0,6,5,0.4
logreg,splice,label_noise,2025,0.0,6,6,0.4
logreg,steel-plates-fault,covariate_shift,42,0.05,6,4,0.4
logreg,steel-plates-fault,covariate_shift,1337,0.05,6,4,0.4
logreg,steel-plates-fault,covariate_shift,2025,0.05,6,4,0.4
logreg,steel-plates-fault,label_noise,42,0.0,6,5,0.4
logreg,steel-plates-fault,label_noise,1337,0.0,6,5,0.4
logreg,steel-plates-fault,label_noise,2025,0.0,6,5,0.4
logreg,texture,covariate_shift,42,0.1,6,3,0.4
logreg,texture,covariate_shift,1337,0.1,6,3,0.4
logreg,texture,covariate_shift,2025,0.1,6,3,0.4
logreg,texture,label_noise,42,0.0,6,5,0.4
logreg,texture,label_noise,1337,0.0,6,5,0.4
logreg,texture,label_noise,2025,0.0,6,5,0.4
logreg,tic-tac-toe,covariate_shift,42,0.0,6,6,0.4
logreg,tic-tac-toe,covariate_shift,1337,0.0,6,6,0.4
logreg,tic-tac-toe,covariate_shift,2025,0.0,6,6,0.4
logreg,tic-tac-toe,label_noise,42,0.0,6,6,0.4
logreg,tic-tac-toe,label_noise,1337,0.0,6,6,0.4
logreg,tic-tac-toe,label_noise,2025,0.0,6,6,0.4
logreg,vehicle,covariate_shift,42,0.1,6,3,0.4
logreg,vehicle,covariate_shift,1337,0.2,6,2,0.4
logreg,vehicle,covariate_shift,2025,0.05,6,4,0.4
logreg,vehicle,label_noise,42,0.05,6,4,0.4
logreg,vehicle,label_noise,1337,0.0,6,5,0.4
logreg,vehicle,label_noise,2025,0.0,6,5,0.4
logreg,vowel,covariate_shift,42,0.0,6,6,0.4
logreg,vowel,covariate_shift,1337,0.0,6,6,0.4
logreg,vowel,covariate_shift,2025,0.0,6,6,0.4
logreg,vowel,label_noise,42,0.0,6,6,0.4
logreg,vowel,label_noise,1337,0.0,6,6,0.4
logreg,vowel,label_noise,2025,0.0,6,6,0.4
logreg,wall-robot-navigation,covariate_shift,42,0.0,6,6,0.4
logreg,wall-robot-navigation,covariate_shift,1337,0.0,6,6,0.4
logreg,wall-robot-navigation,covariate_shift,2025,0.0,6,6,0.4
logreg,wall-robot-navigation,label_noise,42,0.0,6,6,0.4
logreg,wall-robot-navigation,label_noise,1337,0.0,6,6,0.4
logreg,wall-robot-navigation,label_noise,2025,0.0,6,6,0.4
logreg,wdbc,covariate_shift,42,0.05,6,4,0.4
logreg,wdbc,covariate_shift,1337,0.05,6,4,0.4
logreg,wdbc,covariate_shift,2025,0.05,6,4,0.4
logreg,wdbc,label_noise,42,0.05,6,4,0.4
logreg,wdbc,label_noise,1337,0.0,6,5,0.4
logreg,wdbc,label_noise,2025,0.05,6,4,0.4
tabicl,GesturePhaseSegmentation,covariate_shift,42,0.0,6,5,0.4
tabicl,GesturePhaseSegmentation,covariate_shift,1337,0.0,6,5,0.4
tabicl,GesturePhaseSegmentation,covariate_shift,2025,0.0,6,5,0.4
tabicl,GesturePhaseSegmentation,label_noise,42,0.1,6,3,0.4
tabicl,GesturePhaseSegmentation,label_noise,1337,0.1,6,3,0.4
tabicl,GesturePhaseSegmentation,label_noise,2025,0.1,6,3,0.4
tabicl,MiceProtein,covariate_shift,42,0.3,6,1,0.4
tabicl,MiceProtein,covariate_shift,1337,0.3,6,1,0.4
tabicl,MiceProtein,covariate_shift,2025,0.3,6,1,0.4
tabicl,MiceProtein,label_noise,42,0.1,6,3,0.4
tabicl,MiceProtein,label_noise,1337,0.1,6,3,0.4
tabicl,MiceProtein,label_noise,2025,0.1,6,3,0.4
tabicl,PhishingWebsites,covariate_shift,42,0.4,6,0,0.4
tabicl,PhishingWebsites,covariate_shift,1337,0.4,6,0,0.4
tabicl,PhishingWebsites,covariate_shift,2025,0.4,6,0,0.4
tabicl,PhishingWebsites,label_noise,42,0.05,6,4,0.4
tabicl,PhishingWebsites,label_noise,1337,0.05,6,4,0.4
tabicl,PhishingWebsites,label_noise,2025,0.05,6,4,0.4
tabicl,analcatdata_authorship,covariate_shift,42,0.1,6,3,0.4
tabicl,analcatdata_authorship,covariate_shift,1337,0.1,6,3,0.4
tabicl,analcatdata_authorship,covariate_shift,2025,0.1,6,3,0.4
tabicl,analcatdata_authorship,label_noise,42,0.1,6,3,0.4
tabicl,analcatdata_authorship,label_noise,1337,0.1,6,3,0.4
tabicl,analcatdata_authorship,label_noise,2025,0.1,6,3,0.4
tabicl,breast-w,covariate_shift,42,0.0,6,5,0.4
tabicl,breast-w,covariate_shift,1337,0.0,6,5,0.4
tabicl,breast-w,covariate_shift,2025,0.0,6,5,0.4
tabicl,breast-w,label_noise,42,0.05,6,4,0.4
tabicl,breast-w,label_noise,1337,0.1,6,3,0.4
tabicl,breast-w,label_noise,2025,0.05,6,4,0.4
tabicl,car,covariate_shift,42,0.4,6,0,0.4
tabicl,car,covariate_shift,1337,0.4,6,0,0.4
tabicl,car,covariate_shift,2025,0.4,6,0,0.4
tabicl,car,label_noise,42,0.05,6,4,0.4
tabicl,car,label_noise,1337,0.05,6,4,0.4
tabicl,car,label_noise,2025,0.05,6,4,0.4
tabicl,churn,covariate_shift,42,0.05,6,4,0.4
tabicl,churn,covariate_shift,1337,0.05,6,4,0.4
tabicl,churn,covariate_shift,2025,0.05,6,4,0.4
tabicl,churn,label_noise,42,0.05,6,4,0.4
tabicl,churn,label_noise,1337,0.1,6,3,0.4
tabicl,churn,label_noise,2025,0.1,6,3,0.4
tabicl,climate-model-simulation-crashes,covariate_shift,42,0.2,6,2,0.4
tabicl,climate-model-simulation-crashes,covariate_shift,1337,0.1,6,3,0.4
tabicl,climate-model-simulation-crashes,covariate_shift,2025,0.1,6,3,0.4
tabicl,climate-model-simulation-crashes,label_noise,42,0.1,6,3,0.4
tabicl,climate-model-simulation-crashes,label_noise,1337,0.0,6,5,0.4
tabicl,climate-model-simulation-crashes,label_noise,2025,0.0,6,5,0.4
tabicl,cmc,covariate_shift,42,0.0,6,6,0.4
tabicl,cmc,covariate_shift,1337,0.0,6,6,0.4
tabicl,cmc,covariate_shift,2025,0.0,6,6,0.4
tabicl,cmc,label_noise,42,0.0,6,6,0.4
tabicl,cmc,label_noise,1337,0.0,6,6,0.4
tabicl,cmc,label_noise,2025,0.0,6,6,0.4
tabicl,cnae-9,covariate_shift,42,0.0,6,5,0.4
tabicl,cnae-9,covariate_shift,1337,0.0,6,5,0.4
tabicl,cnae-9,covariate_shift,2025,0.0,6,5,0.4
tabicl,cnae-9,label_noise,42,0.1,6,3,0.4
tabicl,cnae-9,label_noise,1337,0.1,6,3,0.4
tabicl,cnae-9,label_noise,2025,0.1,6,3,0.4
tabicl,credit-approval,covariate_shift,42,0.1,6,3,0.4
tabicl,credit-approval,covariate_shift,1337,0.0,6,5,0.4
tabicl,credit-approval,covariate_shift,2025,0.05,6,4,0.4
tabicl,credit-approval,label_noise,42,0.1,6,3,0.4
tabicl,credit-approval,label_noise,1337,0.05,6,4,0.4
tabicl,credit-approval,label_noise,2025,0.05,6,4,0.4
tabicl,credit-g,covariate_shift,42,0.4,6,0,0.4
tabicl,credit-g,covariate_shift,1337,0.4,6,0,0.4
tabicl,credit-g,covariate_shift,2025,0.3,6,1,0.4
tabicl,credit-g,label_noise,42,0.1,6,3,0.4
tabicl,credit-g,label_noise,1337,0.05,6,4,0.4
tabicl,credit-g,label_noise,2025,0.1,6,3,0.4
tabicl,diabetes,covariate_shift,42,0.1,6,3,0.4
tabicl,diabetes,covariate_shift,1337,0.05,6,4,0.4
tabicl,diabetes,covariate_shift,2025,0.05,6,4,0.4
tabicl,diabetes,label_noise,42,0.1,6,3,0.4
tabicl,diabetes,label_noise,1337,0.1,6,3,0.4
tabicl,diabetes,label_noise,2025,0.1,6,3,0.4
tabicl,dna,covariate_shift,42,0.4,6,0,0.4
tabicl,dna,covariate_shift,1337,0.4,6,0,0.4
tabicl,dna,covariate_shift,2025,0.4,6,0,0.4
tabicl,dna,label_noise,42,0.1,6,3,0.4
tabicl,dna,label_noise,1337,0.1,6,3,0.4
tabicl,dna,label_noise,2025,0.1,6,3,0.4
tabicl,dresses-sales,covariate_shift,42,0.0,6,6,0.4
tabicl,dresses-sales,covariate_shift,1337,0.0,6,6,0.4
tabicl,dresses-sales,covariate_shift,2025,0.0,6,6,0.4
tabicl,dresses-sales,label_noise,42,0.0,6,6,0.4
tabicl,dresses-sales,label_noise,1337,0.0,6,6,0.4
tabicl,dresses-sales,label_noise,2025,0.0,6,6,0.4
tabicl,eucalyptus,covariate_shift,42,0.0,6,5,0.4
tabicl,eucalyptus,covariate_shift,1337,0.05,6,4,0.4
tabicl,eucalyptus,covariate_shift,2025,0.0,6,5,0.4
tabicl,eucalyptus,label_noise,42,0.05,6,4,0.4
tabicl,eucalyptus,label_noise,1337,0.0,6,4,0.4
tabicl,eucalyptus,label_noise,2025,0.1,6,3,0.4
tabicl,first-order-theorem-proving,covariate_shift,42,0.0,6,5,0.4
tabicl,first-order-theorem-proving,covariate_shift,1337,0.0,6,5,0.4
tabicl,first-order-theorem-proving,covariate_shift,2025,0.0,6,5,0.4
tabicl,first-order-theorem-proving,label_noise,42,0.2,6,2,0.4
tabicl,first-order-theorem-proving,label_noise,1337,0.1,6,3,0.4
tabicl,first-order-theorem-proving,label_noise,2025,0.1,6,3,0.4
tabicl,ilpd,covariate_shift,42,0.0,6,6,0.4
tabicl,ilpd,covariate_shift,1337,0.05,6,4,0.4
tabicl,ilpd,covariate_shift,2025,0.0,6,5,0.4
tabicl,ilpd,label_noise,42,0.0,6,5,0.4
tabicl,ilpd,label_noise,1337,0.1,6,3,0.4
tabicl,ilpd,label_noise,2025,0.05,6,4,0.4
tabicl,kc1,covariate_shift,42,0.0,6,5,0.4
tabicl,kc1,covariate_shift,1337,0.0,6,5,0.4
tabicl,kc1,covariate_shift,2025,0.0,6,5,0.4
tabicl,kc1,label_noise,42,0.1,6,3,0.4
tabicl,kc1,label_noise,1337,0.1,6,3,0.4
tabicl,kc1,label_noise,2025,0.1,6,3,0.4
tabicl,kr-vs-kp,covariate_shift,42,0.4,6,0,0.4
tabicl,kr-vs-kp,covariate_shift,1337,0.4,6,0,0.4
tabicl,kr-vs-kp,covariate_shift,2025,0.4,6,0,0.4
tabicl,kr-vs-kp,label_noise,42,0.05,6,4,0.4
tabicl,kr-vs-kp,label_noise,1337,0.05,6,4,0.4
tabicl,kr-vs-kp,label_noise,2025,0.05,6,4,0.4
tabicl,mfeat-factors,covariate_shift,42,0.2,6,2,0.4
tabicl,mfeat-factors,covariate_shift,1337,0.2,6,2,0.4
tabicl,mfeat-factors,covariate_shift,2025,0.2,6,2,0.4
tabicl,mfeat-factors,label_noise,42,0.1,6,3,0.4
tabicl,mfeat-factors,label_noise,1337,0.1,6,3,0.4
tabicl,mfeat-factors,label_noise,2025,0.1,6,3,0.4
tabicl,mfeat-fourier,covariate_shift,42,0.1,6,3,0.4
tabicl,mfeat-fourier,covariate_shift,1337,0.1,6,3,0.4
tabicl,mfeat-fourier,covariate_shift,2025,0.1,6,3,0.4
tabicl,mfeat-fourier,label_noise,42,0.1,6,3,0.4
tabicl,mfeat-fourier,label_noise,1337,0.1,6,3,0.4
tabicl,mfeat-fourier,label_noise,2025,0.1,6,3,0.4
tabicl,mfeat-karhunen,covariate_shift,42,0.2,6,2,0.4
tabicl,mfeat-karhunen,covariate_shift,1337,0.2,6,2,0.4
tabicl,mfeat-karhunen,covariate_shift,2025,0.2,6,2,0.4
tabicl,mfeat-karhunen,label_noise,42,0.1,6,3,0.4
tabicl,mfeat-karhunen,label_noise,1337,0.1,6,3,0.4
tabicl,mfeat-karhunen,label_noise,2025,0.1,6,3,0.4
tabicl,mfeat-morphological,covariate_shift,42,0.0,6,5,0.4
tabicl,mfeat-morphological,covariate_shift,1337,0.0,6,5,0.4
tabicl,mfeat-morphological,covariate_shift,2025,0.0,6,5,0.4
tabicl,mfeat-morphological,label_noise,42,0.1,6,3,0.4
tabicl,mfeat-morphological,label_noise,1337,0.1,6,3,0.4
tabicl,mfeat-morphological,label_noise,2025,0.1,6,3,0.4
tabicl,mfeat-zernike,covariate_shift,42,0.1,6,3,0.4
tabicl,mfeat-zernike,covariate_shift,1337,0.1,6,3,0.4
tabicl,mfeat-zernike,covariate_shift,2025,0.1,6,3,0.4
tabicl,mfeat-zernike,label_noise,42,0.1,6,3,0.4
tabicl,mfeat-zernike,label_noise,1337,0.1,6,3,0.4
tabicl,mfeat-zernike,label_noise,2025,0.1,6,3,0.4
tabicl,optdigits,covariate_shift,42,0.05,6,4,0.4
tabicl,optdigits,covariate_shift,1337,0.05,6,4,0.4
tabicl,optdigits,covariate_shift,2025,0.05,6,4,0.4
tabicl,optdigits,label_noise,42,0.1,6,3,0.4
tabicl,optdigits,label_noise,1337,0.1,6,3,0.4
tabicl,optdigits,label_noise,2025,0.1,6,3,0.4
tabicl,ozone-level-8hr,covariate_shift,42,0.3,6,1,0.4
tabicl,ozone-level-8hr,covariate_shift,1337,0.4,6,0,0.4
tabicl,ozone-level-8hr,covariate_shift,2025,0.2,6,2,0.4
tabicl,ozone-level-8hr,label_noise,42,0.05,6,4,0.4
tabicl,ozone-level-8hr,label_noise,1337,0.05,6,4,0.4
tabicl,ozone-level-8hr,label_noise,2025,0.05,6,4,0.4
tabicl,pc1,covariate_shift,42,0.0,6,5,0.4
tabicl,pc1,covariate_shift,1337,0.05,6,4,0.4
tabicl,pc1,covariate_shift,2025,0.0,6,5,0.4
tabicl,pc1,label_noise,42,0.05,6,4,0.4
tabicl,pc1,label_noise,1337,0.1,6,3,0.4
tabicl,pc1,label_noise,2025,0.05,6,4,0.4
tabicl,pc3,covariate_shift,42,0.05,6,4,0.4
tabicl,pc3,covariate_shift,1337,0.1,6,3,0.4
tabicl,pc3,covariate_shift,2025,0.1,6,3,0.4
tabicl,pc3,label_noise,42,0.05,6,4,0.4
tabicl,pc3,label_noise,1337,0.1,6,3,0.4
tabicl,pc3,label_noise,2025,0.1,6,3,0.4
tabicl,pc4,covariate_shift,42,0.0,6,5,0.4
tabicl,pc4,covariate_shift,1337,0.0,6,5,0.4
tabicl,pc4,covariate_shift,2025,0.0,6,5,0.4
tabicl,pc4,label_noise,42,0.05,6,4,0.4
tabicl,pc4,label_noise,1337,0.1,6,3,0.4
tabicl,pc4,label_noise,2025,0.1,6,3,0.4
tabicl,pendigits,covariate_shift,42,0.0,6,5,0.4
tabicl,pendigits,covariate_shift,1337,0.0,6,5,0.4
tabicl,pendigits,covariate_shift,2025,0.0,6,5,0.4
tabicl,pendigits,label_noise,42,0.1,6,3,0.4
tabicl,pendigits,label_noise,1337,0.1,6,3,0.4
tabicl,pendigits,label_noise,2025,0.1,6,3,0.4
tabicl,phoneme,covariate_shift,42,0.0,6,5,0.4
tabicl,phoneme,covariate_shift,1337,0.0,6,5,0.4
tabicl,phoneme,covariate_shift,2025,0.0,6,5,0.4
tabicl,phoneme,label_noise,42,0.1,6,3,0.4
tabicl,phoneme,label_noise,1337,0.1,6,3,0.4
tabicl,phoneme,label_noise,2025,0.1,6,3,0.4
tabicl,qsar-biodeg,covariate_shift,42,0.0,6,5,0.4
tabicl,qsar-biodeg,covariate_shift,1337,0.0,6,5,0.4
tabicl,qsar-biodeg,covariate_shift,2025,0.0,6,5,0.4
tabicl,qsar-biodeg,label_noise,42,0.1,6,3,0.4
tabicl,qsar-biodeg,label_noise,1337,0.1,6,3,0.4
tabicl,qsar-biodeg,label_noise,2025,0.1,6,3,0.4
tabicl,satimage,covariate_shift,42,0.05,6,4,0.4
tabicl,satimage,covariate_shift,1337,0.05,6,4,0.4
tabicl,satimage,covariate_shift,2025,0.05,6,4,0.4
tabicl,satimage,label_noise,42,0.1,6,3,0.4
tabicl,satimage,label_noise,1337,0.1,6,3,0.4
tabicl,satimage,label_noise,2025,0.1,6,3,0.4
tabicl,segment,covariate_shift,42,0.0,6,5,0.4
tabicl,segment,covariate_shift,1337,0.0,6,5,0.4
tabicl,segment,covariate_shift,2025,0.0,6,5,0.4
tabicl,segment,label_noise,42,0.1,6,3,0.4
tabicl,segment,label_noise,1337,0.1,6,3,0.4
tabicl,segment,label_noise,2025,0.1,6,3,0.4
tabicl,spambase,covariate_shift,42,0.0,6,5,0.4
tabicl,spambase,covariate_shift,1337,0.0,6,5,0.4
tabicl,spambase,covariate_shift,2025,0.0,6,5,0.4
tabicl,spambase,label_noise,42,0.05,6,4,0.4
tabicl,spambase,label_noise,1337,0.1,6,3,0.4
tabicl,spambase,label_noise,2025,0.05,6,4,0.4
tabicl,splice,covariate_shift,42,0.4,6,0,0.4
tabicl,splice,covariate_shift,1337,0.4,6,0,0.4
tabicl,splice,covariate_shift,2025,0.4,6,0,0.4
tabicl,splice,label_noise,42,0.1,6,3,0.4
tabicl,splice,label_noise,1337,0.1,6,3,0.4
tabicl,splice,label_noise,2025,0.1,6,3,0.4
tabicl,steel-plates-fault,covariate_shift,42,0.0,6,5,0.4
tabicl,steel-plates-fault,covariate_shift,1337,0.0,6,5,0.4
tabicl,steel-plates-fault,covariate_shift,2025,0.0,6,5,0.4
tabicl,steel-plates-fault,label_noise,42,0.05,6,4,0.4
tabicl,steel-plates-fault,label_noise,1337,0.05,6,4,0.4
tabicl,steel-plates-fault,label_noise,2025,0.05,6,4,0.4
tabicl,texture,covariate_shift,42,0.2,6,2,0.4
tabicl,texture,covariate_shift,1337,0.2,6,2,0.4
tabicl,texture,covariate_shift,2025,0.2,6,2,0.4
tabicl,texture,label_noise,42,0.1,6,3,0.4
tabicl,texture,label_noise,1337,0.1,6,3,0.4
tabicl,texture,label_noise,2025,0.1,6,3,0.4
tabicl,tic-tac-toe,covariate_shift,42,0.4,6,0,0.4
tabicl,tic-tac-toe,covariate_shift,1337,0.4,6,0,0.4
tabicl,tic-tac-toe,covariate_shift,2025,0.4,6,0,0.4
tabicl,tic-tac-toe,label_noise,42,0.05,6,4,0.4
tabicl,tic-tac-toe,label_noise,1337,0.05,6,4,0.4
tabicl,tic-tac-toe,label_noise,2025,0.0,6,5,0.4
tabicl,vehicle,covariate_shift,42,0.1,6,3,0.4
tabicl,vehicle,covariate_shift,1337,0.1,6,3,0.4
tabicl,vehicle,covariate_shift,2025,0.1,6,3,0.4
tabicl,vehicle,label_noise,42,0.1,6,3,0.4
tabicl,vehicle,label_noise,1337,0.1,6,3,0.4
tabicl,vehicle,label_noise,2025,0.1,6,3,0.4
tabicl,vowel,covariate_shift,42,0.1,6,3,0.4
tabicl,vowel,covariate_shift,1337,0.1,6,3,0.4
tabicl,vowel,covariate_shift,2025,0.1,6,3,0.4
tabicl,vowel,label_noise,42,0.05,6,4,0.4
tabicl,vowel,label_noise,1337,0.05,6,4,0.4
tabicl,vowel,label_noise,2025,0.1,6,3,0.4
tabicl,wall-robot-navigation,covariate_shift,42,0.0,6,5,0.4
tabicl,wall-robot-navigation,covariate_shift,1337,0.0,6,5,0.4
tabicl,wall-robot-navigation,covariate_shift,2025,0.0,6,5,0.4
tabicl,wall-robot-navigation,label_noise,42,0.05,6,4,0.4
tabicl,wall-robot-navigation,label_noise,1337,0.05,6,4,0.4
tabicl,wall-robot-navigation,label_noise,2025,0.05,6,4,0.4
tabicl,wdbc,covariate_shift,42,0.05,6,4,0.4
tabicl,wdbc,covariate_shift,1337,0.0,6,5,0.4
tabicl,wdbc,covariate_shift,2025,0.05,6,4,0.4
tabicl,wdbc,label_noise,42,0.1,6,3,0.4
tabicl,wdbc,label_noise,1337,0.05,6,4,0.4
tabicl,wdbc,label_noise,2025,0.1,6,3,0.4
tabpfn,GesturePhaseSegmentation,covariate_shift,42,0.0,6,5,0.4
tabpfn,GesturePhaseSegmentation,covariate_shift,1337,0.0,6,5,0.4
tabpfn,GesturePhaseSegmentation,covariate_shift,2025,0.0,6,5,0.4
tabpfn,GesturePhaseSegmentation,label_noise,42,0.05,6,4,0.4
tabpfn,GesturePhaseSegmentation,label_noise,1337,0.05,6,4,0.4
tabpfn,GesturePhaseSegmentation,label_noise,2025,0.0,6,5,0.4
tabpfn,MiceProtein,covariate_shift,42,0.2,6,2,0.4
tabpfn,MiceProtein,covariate_shift,1337,0.2,6,2,0.4
tabpfn,MiceProtein,covariate_shift,2025,0.2,6,2,0.4
tabpfn,MiceProtein,label_noise,42,0.1,6,3,0.4
tabpfn,MiceProtein,label_noise,1337,0.1,6,3,0.4
tabpfn,MiceProtein,label_noise,2025,0.1,6,3,0.4
tabpfn,PhishingWebsites,covariate_shift,42,0.4,6,0,0.4
tabpfn,PhishingWebsites,covariate_shift,1337,0.4,6,0,0.4
tabpfn,PhishingWebsites,covariate_shift,2025,0.4,6,0,0.4
tabpfn,PhishingWebsites,label_noise,42,0.05,6,4,0.4
tabpfn,PhishingWebsites,label_noise,1337,0.05,6,4,0.4
tabpfn,PhishingWebsites,label_noise,2025,0.05,6,4,0.4
tabpfn,analcatdata_authorship,covariate_shift,42,0.1,6,3,0.4
tabpfn,analcatdata_authorship,covariate_shift,1337,0.1,6,3,0.4
tabpfn,analcatdata_authorship,covariate_shift,2025,0.1,6,3,0.4
tabpfn,analcatdata_authorship,label_noise,42,0.1,6,3,0.4
tabpfn,analcatdata_authorship,label_noise,1337,0.1,6,3,0.4
tabpfn,analcatdata_authorship,label_noise,2025,0.1,6,3,0.4
tabpfn,breast-w,covariate_shift,42,0.05,6,4,0.4
tabpfn,breast-w,covariate_shift,1337,0.05,6,4,0.4
tabpfn,breast-w,covariate_shift,2025,0.05,6,4,0.4
tabpfn,breast-w,label_noise,42,0.05,6,4,0.4
tabpfn,breast-w,label_noise,1337,0.1,6,3,0.4
tabpfn,breast-w,label_noise,2025,0.05,6,4,0.4
tabpfn,car,covariate_shift,42,0.4,6,0,0.4
tabpfn,car,covariate_shift,1337,0.4,6,0,0.4
tabpfn,car,covariate_shift,2025,0.4,6,0,0.4
tabpfn,car,label_noise,42,0.05,6,4,0.4
tabpfn,car,label_noise,1337,0.05,6,4,0.4
tabpfn,car,label_noise,2025,0.05,6,4,0.4
tabpfn,churn,covariate_shift,42,0.05,6,4,0.4
