dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.6397704253882511,0.87123247130408,0.9522386353500564,0.5916591301803614,0.0366300836801478,0.2160731729745276,6911,catboost,0.2160731729745276,False,,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.3723835246455098,0.7498292424228373,1.6662065323597033,1.035272326746514,0.2667874350045456,-0.0456414214800437,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.3440243079000675,0.6962282328928715,1.9555516964119009,1.2150525853180263,0.308078060210355,-0.1308478599399637,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3163403106009453,0.6526271294400724,2.463796053695319,1.5308425597910111,0.389244495715496,-0.2612311251862353,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.299797434166104,0.5942133189331065,3.25075180265944,2.0198056585749438,0.465334231110641,-0.4460642670431082,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.3099257258609048,0.6054434430356566,3.25679363385092,2.0235596593629213,0.3902864504194462,-0.4267311239511501,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.6549628629304524,0.8837679531210488,0.9122866745010528,0.5668355812007176,0.035160790621619,0.2304803805473958,6911,catboost,0.2160731729745276,False,,
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.4081701553004727,0.7872461651110058,1.4886695244935386,0.9249623815820812,0.1921088416628797,0.0208511982767225,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.3490884537474679,0.7039358761431838,2.17746725407316,1.3529364738152443,0.3496625805719473,-0.1770726335467282,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3224172856178258,0.6486186416663242,2.8012877107414016,1.7405379164361536,0.4042034515428702,-0.3276229478135327,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.3099257258609048,0.6271829115268852,3.1783614197367687,1.97482698473894,0.3882414974169442,-0.4040935169915253,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,
