model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
tabpfn_client,steel-plates-fault,label_noise,0.1,6,3,0.4,42
tabpfn_client,vehicle,covariate_shift,0.05,6,4,0.4,42
tabpfn_client,vehicle,label_noise,0.1,6,3,0.4,42
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4,42
tabpfn_client,wdbc,label_noise,0.1,6,3,0.4,42
tabicl,car,covariate_shift,0.4,6,0,0.4,1337
tabicl,car,label_noise,0.1,6,3,0.4,1337
tabicl,churn,covariate_shift,0.2,6,2,0.4,1337
tabicl,churn,label_noise,0.1,6,3,0.4,1337
tabicl,credit-approval,covariate_shift,0.2,6,2,0.4,1337
tabicl,credit-approval,label_noise,0.1,6,3,0.4,1337
tabicl,credit-g,covariate_shift,0.4,6,0,0.4,1337
tabicl,credit-g,label_noise,0.05,6,4,0.4,1337
tabicl,eucalyptus,covariate_shift,0.05,6,3,0.4,1337
tabicl,eucalyptus,label_noise,0.0,6,4,0.4,1337
tabicl,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
tabicl,kr-vs-kp,label_noise,0.1,6,3,0.4,1337
tabicl,optdigits,covariate_shift,0.05,6,4,0.4,1337
tabicl,optdigits,label_noise,0.1,6,3,0.4,1337
tabicl,pc1,covariate_shift,0.3,6,1,0.4,1337
tabicl,pc1,label_noise,0.1,6,3,0.4,1337
tabicl,splice,covariate_shift,0.4,6,0,0.4,1337
tabicl,splice,label_noise,0.1,6,3,0.4,1337
tabicl,steel-plates-fault,covariate_shift,0.0,6,5,0.4,1337
tabicl,steel-plates-fault,label_noise,0.1,6,3,0.4,1337
tabicl,vehicle,covariate_shift,0.1,6,3,0.4,1337
tabicl,vehicle,label_noise,0.1,6,3,0.4,1337
tabicl,wdbc,covariate_shift,0.05,6,4,0.4,1337
tabicl,wdbc,label_noise,0.1,6,3,0.4,1337
tabpfn_client,car,covariate_shift,0.4,6,0,0.4,1337
tabpfn_client,car,label_noise,0.1,6,3,0.4,1337
tabpfn_client,churn,covariate_shift,0.1,6,3,0.4,1337
tabpfn_client,churn,label_noise,0.1,6,3,0.4,1337
tabpfn_client,credit-approval,covariate_shift,0.1,6,3,0.4,1337
tabpfn_client,credit-approval,label_noise,0.1,6,3,0.4,1337
tabpfn_client,credit-g,covariate_shift,0.3,6,1,0.4,1337
tabpfn_client,credit-g,label_noise,0.05,6,4,0.4,1337
tabpfn_client,eucalyptus,covariate_shift,0.1,6,3,0.4,1337
tabpfn_client,eucalyptus,label_noise,0.0,6,4,0.4,1337
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
tabpfn_client,kr-vs-kp,label_noise,0.1,6,3,0.4,1337
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4,1337
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4,1337
tabpfn_client,pc1,covariate_shift,0.3,6,1,0.4,1337
tabpfn_client,pc1,label_noise,0.1,6,3,0.4,1337
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4,1337
tabpfn_client,splice,label_noise,0.1,6,3,0.4,1337
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4,1337
tabpfn_client,steel-plates-fault,label_noise,0.1,6,3,0.4,1337
tabpfn_client,vehicle,covariate_shift,0.1,6,2,0.4,1337
tabpfn_client,vehicle,label_noise,0.05,6,4,0.4,1337
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4,1337
tabpfn_client,wdbc,label_noise,0.05,6,4,0.4,1337
tabicl,car,covariate_shift,0.4,6,0,0.4,2025
tabicl,car,label_noise,0.1,6,3,0.4,2025
tabicl,churn,covariate_shift,0.2,6,2,0.4,2025
tabicl,churn,label_noise,0.1,6,3,0.4,2025
tabicl,credit-approval,covariate_shift,0.4,6,0,0.4,2025
tabicl,credit-approval,label_noise,0.1,6,3,0.4,2025
tabicl,credit-g,covariate_shift,0.3,6,1,0.4,2025
tabicl,credit-g,label_noise,0.1,6,3,0.4,2025
tabicl,eucalyptus,covariate_shift,0.0,6,5,0.4,2025
tabicl,eucalyptus,label_noise,0.1,6,3,0.4,2025
tabicl,kr-vs-kp,covariate_shift,0.4,6,0,0.4,2025
tabicl,kr-vs-kp,label_noise,0.1,6,3,0.4,2025
tabicl,optdigits,covariate_shift,0.05,6,4,0.4,2025
tabicl,optdigits,label_noise,0.1,6,3,0.4,2025
tabicl,pc1,covariate_shift,0.2,6,2,0.4,2025
tabicl,pc1,label_noise,0.1,6,3,0.4,2025
tabicl,splice,covariate_shift,0.4,6,0,0.4,2025
tabicl,splice,label_noise,0.1,6,3,0.4,2025
tabicl,steel-plates-fault,covariate_shift,0.0,6,5,0.4,2025
tabicl,steel-plates-fault,label_noise,0.1,6,3,0.4,2025
tabicl,vehicle,covariate_shift,0.1,6,2,0.4,2025
tabicl,vehicle,label_noise,0.1,6,3,0.4,2025
tabicl,wdbc,covariate_shift,0.05,6,4,0.4,2025
tabicl,wdbc,label_noise,0.1,6,3,0.4,2025
tabpfn_client,car,covariate_shift,0.4,6,0,0.4,2025
tabpfn_client,car,label_noise,0.1,6,3,0.4,2025
tabpfn_client,churn,covariate_shift,0.1,6,3,0.4,2025
tabpfn_client,churn,label_noise,0.1,6,3,0.4,2025
tabpfn_client,credit-approval,covariate_shift,0.4,6,0,0.4,2025
tabpfn_client,credit-approval,label_noise,0.1,6,3,0.4,2025
tabpfn_client,credit-g,covariate_shift,0.3,6,1,0.4,2025
tabpfn_client,credit-g,label_noise,0.1,6,3,0.4,2025
tabpfn_client,eucalyptus,covariate_shift,0.0,6,5,0.4,2025
tabpfn_client,eucalyptus,label_noise,0.05,6,4,0.4,2025
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6,0,0.4,2025
tabpfn_client,kr-vs-kp,label_noise,0.1,6,3,0.4,2025
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4,2025
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4,2025
tabpfn_client,pc1,covariate_shift,0.2,6,2,0.4,2025
tabpfn_client,pc1,label_noise,0.1,6,3,0.4,2025
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4,2025
tabpfn_client,splice,label_noise,0.1,6,3,0.4,2025
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4,2025
tabpfn_client,steel-plates-fault,label_noise,0.1,6,3,0.4,2025
tabpfn_client,vehicle,covariate_shift,0.3,6,1,0.4,2025
tabpfn_client,vehicle,label_noise,0.05,6,4,0.4,2025
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4,2025
tabpfn_client,wdbc,label_noise,0.1,6,3,0.4,2025
