dataset_id,model,family,shift_axis,shift_lambda,variant_seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes,base_seed
GesturePhaseSegmentation,tabpfn,icl,categorical_covariate_shift,0.2,3294687547,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,tabpfn,icl,categorical_covariate_shift,0.3,1809268577,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,tabpfn,icl,categorical_covariate_shift,0.4,74247290,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,xgboost,gbdt,categorical_covariate_shift,0.0,3383503969,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,xgboost,gbdt,categorical_covariate_shift,0.05,4233495739,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,xgboost,gbdt,categorical_covariate_shift,0.1,4217685662,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,xgboost,gbdt,categorical_covariate_shift,0.2,3294687547,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,xgboost,gbdt,categorical_covariate_shift,0.3,1809268577,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
GesturePhaseSegmentation,xgboost,gbdt,categorical_covariate_shift,0.4,74247290,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,catboost,gbdt,categorical_covariate_shift,0.0,3250997364,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,catboost,gbdt,categorical_covariate_shift,0.05,1862703034,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,catboost,gbdt,categorical_covariate_shift,0.1,1486523430,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,catboost,gbdt,categorical_covariate_shift,0.2,1207354483,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,catboost,gbdt,categorical_covariate_shift,0.3,2086672045,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,catboost,gbdt,categorical_covariate_shift,0.4,2070545930,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,hist_gbdt,gbdt,categorical_covariate_shift,0.0,3250997364,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,hist_gbdt,gbdt,categorical_covariate_shift,0.05,1862703034,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,hist_gbdt,gbdt,categorical_covariate_shift,0.1,1486523430,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,hist_gbdt,gbdt,categorical_covariate_shift,0.2,1207354483,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,hist_gbdt,gbdt,categorical_covariate_shift,0.3,2086672045,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,hist_gbdt,gbdt,categorical_covariate_shift,0.4,2070545930,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,logreg,linear,categorical_covariate_shift,0.0,3250997364,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,logreg,linear,categorical_covariate_shift,0.05,1862703034,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,logreg,linear,categorical_covariate_shift,0.1,1486523430,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,logreg,linear,categorical_covariate_shift,0.2,1207354483,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,logreg,linear,categorical_covariate_shift,0.3,2086672045,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,logreg,linear,categorical_covariate_shift,0.4,2070545930,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,tabicl,icl,categorical_covariate_shift,0.0,3250997364,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,tabicl,icl,categorical_covariate_shift,0.05,1862703034,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
MiceProtein,tabicl,icl,categorical_covariate_shift,0.1,1486523430,test_only,True,low,False,skipped,shift not applicable: dataset has no categorical features,,,,,,,,,,,,0,,,True,undefined,,1337
