model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
catboost,ilpd,categorical_covariate_shift,0.05,6,1,0.4,1337
catboost,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,1337
catboost,splice,categorical_covariate_shift,0.0,6,5,0.4,1337
catboost,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,1337
catboost,vowel,categorical_covariate_shift,0.4,6,0,0.4,1337
hist_gbdt,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,car,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,churn,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,cmc,categorical_covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,credit-approval,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,credit-g,categorical_covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,dna,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,eucalyptus,categorical_covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,ilpd,categorical_covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,splice,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,vowel,categorical_covariate_shift,0.4,6,0,0.4,1337
logreg,PhishingWebsites,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,car,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,churn,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,cmc,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,credit-approval,categorical_covariate_shift,0.0,6,5,0.4,1337
logreg,credit-g,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,dna,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,eucalyptus,categorical_covariate_shift,0.1,6,1,0.4,1337
logreg,ilpd,categorical_covariate_shift,0.4,6,0,0.4,1337
logreg,kr-vs-kp,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,splice,categorical_covariate_shift,0.0,6,5,0.4,1337
logreg,tic-tac-toe,categorical_covariate_shift,0.0,6,6,0.4,1337
logreg,vowel,categorical_covariate_shift,0.0,6,6,0.4,1337
tabicl,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,1337
tabicl,car,categorical_covariate_shift,0.0,6,5,0.4,1337
tabicl,churn,categorical_covariate_shift,0.05,6,4,0.4,1337
tabicl,cmc,categorical_covariate_shift,0.0,6,6,0.4,1337
tabicl,credit-approval,categorical_covariate_shift,0.05,6,4,0.4,1337
tabicl,credit-g,categorical_covariate_shift,0.05,6,4,0.4,1337
tabicl,dna,categorical_covariate_shift,0.0,6,5,0.4,1337
tabicl,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,1337
tabicl,eucalyptus,categorical_covariate_shift,0.4,6,0,0.4,1337
tabicl,ilpd,categorical_covariate_shift,0.4,6,0,0.4,1337
tabicl,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,1337
tabicl,splice,categorical_covariate_shift,0.05,6,4,0.4,1337
tabicl,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,1337
tabicl,vowel,categorical_covariate_shift,0.4,6,0,0.4,1337
tabpfn,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,1337
tabpfn,car,categorical_covariate_shift,0.0,6,5,0.4,1337
tabpfn,churn,categorical_covariate_shift,0.05,6,4,0.4,1337
tabpfn,cmc,categorical_covariate_shift,0.0,6,6,0.4,1337
tabpfn,credit-approval,categorical_covariate_shift,0.05,6,4,0.4,1337
tabpfn,credit-g,categorical_covariate_shift,0.0,6,5,0.4,1337
tabpfn,dna,categorical_covariate_shift,0.0,6,5,0.4,1337
tabpfn,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,1337
tabpfn,eucalyptus,categorical_covariate_shift,0.05,6,1,0.4,1337
tabpfn,ilpd,categorical_covariate_shift,0.4,6,0,0.4,1337
tabpfn,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,1337
tabpfn,splice,categorical_covariate_shift,0.05,6,4,0.4,1337
tabpfn,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,1337
tabpfn,vowel,categorical_covariate_shift,0.4,6,0,0.4,1337
xgboost,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,1337
xgboost,car,categorical_covariate_shift,0.0,6,5,0.4,1337
xgboost,churn,categorical_covariate_shift,0.0,6,6,0.4,1337
xgboost,cmc,categorical_covariate_shift,0.0,6,6,0.4,1337
xgboost,credit-approval,categorical_covariate_shift,0.0,6,6,0.4,1337
xgboost,credit-g,categorical_covariate_shift,0.0,6,6,0.4,1337
xgboost,dna,categorical_covariate_shift,0.0,6,5,0.4,1337
xgboost,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,1337
xgboost,eucalyptus,categorical_covariate_shift,0.0,6,6,0.4,1337
xgboost,ilpd,categorical_covariate_shift,0.0,6,6,0.4,1337
xgboost,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,1337
xgboost,splice,categorical_covariate_shift,0.0,6,5,0.4,1337
xgboost,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,1337
xgboost,vowel,categorical_covariate_shift,0.4,6,0,0.4,1337
catboost,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,2025
catboost,car,categorical_covariate_shift,0.0,6,5,0.4,2025
